Vteam,Hteam
Boston Celtics,Atlanta Hawks
Miami Heat,Chicago Bulls
Phoenix Suns,Charlotte Hornets
Cleveland Cavaliers,Denver Nuggets
Sacramento Kings,Detroit Pistons
Los Angeles Lakers,Houston Rockets
Dallas Mavericks,Indiana Pacers
Milwaukee Bucks,Orlando Magic
Oklahoma City Thunder,Philadelphia 76ers
Memphis Grizzlies,Toronto Raptors
Charlotte Hornets,Indiana Pacers
Phoenix Suns,Minnesota Timberwolves
Los Angeles Clippers,San Antonio Spurs
Orlando Magic,Atlanta Hawks
Miami Heat,Boston Celtics
Sacramento Kings,Brooklyn Nets
Chicago Bulls,Cleveland Cavaliers
Golden State Warriors,Los Angeles Lakers
New Orleans Pelicans,Memphis Grizzlies
Dallas Mavericks,Milwaukee Bucks
Oklahoma City Thunder,New York Knicks
Houston Rockets,Philadelphia 76ers
Portland Trail Blazers,Utah Jazz
Detroit Pistons,Washington Wizards
Los Angeles Clippers,Dallas Mavericks
Portland Trail Blazers,Oklahoma City Thunder
Minnesota Timberwolves,Phoenix Suns
Sacramento Kings,Toronto Raptors
Cleveland Cavaliers,Boston Celtics
Orlando Magic,Brooklyn Nets
Atlanta Hawks,Chicago Bulls
Toronto Raptors,Indiana Pacers
Charlotte Hornets,Memphis Grizzlies
Los Angeles Clippers,Miami Heat
Detroit Pistons,New Orleans Pelicans
Houston Rockets,New York Knicks
San Antonio Spurs,Philadelphia 76ers
Denver Nuggets,Utah Jazz
Minnesota Timberwolves,Los Angeles Lakers
New Orleans Pelicans,Oklahoma City Thunder
Portland Trail Blazers,Phoenix Suns
Golden State Warriors,Washington Wizards
New York Knicks,Brooklyn Nets
Los Angeles Clippers,Chicago Bulls
Miami Heat,Cleveland Cavaliers
Detroit Pistons,Dallas Mavericks
Phoenix Suns,Denver Nuggets
Toronto Raptors,Houston Rockets
Sacramento Kings,Memphis Grizzlies
Charlotte Hornets,Milwaukee Bucks
Washington Wizards,Orlando Magic
Minnesota Timberwolves,Utah Jazz
Golden State Warriors,Boston Celtics
Philadelphia 76ers,Denver Nuggets
Indiana Pacers,Memphis Grizzlies
San Antonio Spurs,New Orleans Pelicans
Atlanta Hawks,Portland Trail Blazers
Cleveland Cavaliers,Chicago Bulls
Toronto Raptors,Dallas Mavericks
Orlando Magic,Houston Rockets
Sacramento Kings,Los Angeles Clippers
Phoenix Suns,Los Angeles Lakers
Utah Jazz,Minnesota Timberwolves
Miami Heat,New York Knicks
Milwaukee Bucks,Oklahoma City Thunder
Washington Wizards,San Antonio Spurs
