Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance
1,Milwaukee Bucks,26.8,33,12,35,10,10,-0.95,9.05,114.3,104.6,9.7,102.4,0.25,0.422,0.586,0.555,12.2,21,0.191,0.502,11.9,80.8,0.172,Fiserv Forum,417120
2,Golden State Warriors,28.3,32,14,32,14,6.54,-0.27,6.27,116.9,110.5,6.4,100.4,0.24,0.372,0.596,0.561,12.2,23.1,0.196,0.513,11.1,78.3,0.21,Oracle Arena,470304
3,Boston Celtics,25.6,28,18,32,14,6.15,-0.9,5.26,112.4,106.3,6.1,98.8,0.221,0.398,0.566,0.532,11.5,22.4,0.177,0.506,13.6,77.5,0.208,TD Garden,409728
4,Toronto Raptors,27.1,35,13,32,16,5.6,-0.44,5.17,113.5,107.9,5.6,99.2,0.244,0.368,0.573,0.537,11.8,23.2,0.196,0.51,13,75.7,0.183,Scotiabank Arena,475588
5,Denver Nuggets,24.5,31,14,30,15,5.07,-0.35,4.72,114.9,109.6,5.3,96.4,0.239,0.345,0.561,0.53,11.7,27.9,0.179,0.522,11.8,77.7,0.191,Pepsi Center,438076
6,Utah Jazz,27.1,26,21,29,18,3.47,0.69,4.16,108.8,105.3,3.5,99.7,0.3,0.387,0.564,0.529,13.5,21.9,0.219,0.51,12.9,80.3,0.188,Vivint Smart Home Arena,384426
7,Indiana Pacers,26.9,30,15,30,15,5.42,-1.62,3.8,110.7,105.2,5.5,98,0.24,0.287,0.564,0.534,12.7,22.4,0.179,0.513,14.2,77.2,0.176,Bankers Life Fieldhouse,369354
8,Oklahoma City Thunder,25.6,27,18,29,16,4.51,-0.98,3.53,109.8,105.4,4.4,102.7,0.273,0.325,0.541,0.509,11.8,26.4,0.194,0.517,14.9,77.5,0.201,Chesapeake Energy Arena,382263
9,Portland Trail Blazers,26.2,28,19,27,20,2.45,0.77,3.22,112.8,110.3,2.5,98.9,0.255,0.341,0.562,0.521,12,25.2,0.208,0.517,10.6,78.3,0.182,Moda Center,523514
10,San Antonio Spurs,28.9,27,20,27,20,2.45,0.6,3.05,113.5,111,2.5,97.6,0.249,0.278,0.575,0.535,11.1,21.3,0.204,0.524,11.1,78.4,0.176,AT&T Center,438073
11,Houston Rockets,29,26,19,25,20,2.07,0.58,2.65,115.4,113.3,2.1,96.5,0.296,0.516,0.578,0.538,12.2,24.3,0.231,0.532,12.5,75.1,0.219,Toyota Center,433320
12,Philadelphia 76ers,26,30,17,28,19,3.28,-1.12,2.16,112.6,109.4,3.2,101.4,0.318,0.361,0.579,0.538,13.4,24.1,0.243,0.506,11.2,78.7,0.215,Wells Fargo Center,489388
13,New Orleans Pelicans,26.4,21,25,25,21,1.65,0.26,1.91,114.9,113.3,1.6,102.2,0.285,0.31,0.575,0.536,12.2,25.1,0.222,0.532,11.3,76.7,0.205,Smoothie King Center,326471
14,Los Angeles Clippers,27.7,24,21,23,22,0.13,0.97,1.1,112.7,112.6,0.1,100.9,0.327,0.283,0.574,0.526,12.4,22.2,0.262,0.51,10.4,75.5,0.221,STAPLES Center,408270
15,Los Angeles Lakers,25.8,25,22,25,22,1,-0.17,0.83,108.5,107.5,1,102.9,0.263,0.343,0.556,0.529,13.2,22.4,0.182,0.502,11.8,76.5,0.187,STAPLES Center,455928
16,Dallas Mavericks,26.9,20,25,22,22,0,0.45,0.45,109.7,109.7,0,99.4,0.314,0.403,0.559,0.519,13.4,24.2,0.235,0.521,12.1,77.2,0.18,American Airlines Center,437192
17,Minnesota Timberwolves,26.5,21,24,22,23,-0.44,0.56,0.12,111.2,111.7,-0.5,99.8,0.276,0.314,0.548,0.505,11,24.7,0.219,0.532,13.2,74.5,0.187,Target Center,347887
18,Charlotte Hornets,26.9,22,23,24,21,1.07,-1.19,-0.12,112.1,111,1.1,99.3,0.257,0.362,0.557,0.519,10.8,22.1,0.204,0.53,12,77.4,0.179,Spectrum Center,385063
19,Sacramento Kings,24.7,24,22,21,25,-1.09,0.64,-0.45,110.4,111.5,-1.1,103,0.236,0.326,0.557,0.532,11.7,22.4,0.166,0.532,13.7,74.7,0.209,Golden 1 Center,403951
