Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Indiana Pacers,45,240.6,38.3,85.9,0.446,11.7,32.2,0.362,26.6,53.6,0.496,15.1,19.6,0.77,10.1,32.6,42.7,24,7.5,5.3,15.7,20.1,103.3
2,Miami Heat,44,240.6,38.2,86.9,0.439,11.3,31.2,0.361,26.9,55.7,0.483,18.2,23.9,0.764,10.4,34.3,44.7,22.3,7.4,5.3,13.3,21,105.8
3,Memphis Grizzlies,46,242.2,36.7,81.5,0.45,11.6,31.2,0.371,25.1,50.3,0.499,18.9,24.3,0.779,9.1,35.3,44.4,23.1,7.5,4.8,15.2,21.4,103.8
4,Denver Nuggets,45,241.1,39.5,86,0.459,10.7,31.6,0.339,28.8,54.5,0.529,16.5,22,0.748,9.8,32,41.8,24.1,7.5,5.2,12.8,20.6,106.2
5,Milwaukee Bucks,45,241.1,39.5,91.5,0.431,12.9,35.6,0.363,26.6,55.9,0.475,15.8,21.3,0.742,9.5,34.5,44,24.3,7,4.6,13.7,20.4,107.6
6,Boston Celtics,46,242.2,38.4,86.9,0.442,11,33.1,0.333,27.4,53.8,0.51,18.1,23.6,0.765,10.2,35.5,45.7,22.7,7,3.9,15.3,20,105.9
7,Oklahoma City Thunder,45,241.7,40.3,88.2,0.457,10.6,30.5,0.349,29.6,57.7,0.514,17.8,23.5,0.756,10.3,35.2,45.4,24.8,8.3,5.1,17.2,23,109
8,Detroit Pistons,45,243.3,40.4,85.4,0.472,9.1,27.9,0.326,31.2,57.5,0.543,19.2,25.1,0.766,8.8,35.3,44.1,24,7.4,5.5,14.1,22.3,109.1
9,Dallas Mavericks,45,241.1,41.4,89.7,0.461,10.7,30.8,0.347,30.7,58.9,0.521,16.2,21.1,0.767,10.4,33.2,43.6,24.6,8.7,4.7,13.6,24.3,109.6
10,Utah Jazz,47,240,39.4,86.8,0.454,9.8,27.3,0.359,29.6,59.6,0.497,16.3,22,0.744,8.8,33.9,42.6,20.7,8.7,4.6,14.3,22.4,104.9
11,Orlando Magic,46,241.6,40.1,87.2,0.46,10.8,29.6,0.366,29.3,57.5,0.509,16.8,21.8,0.771,9.5,36.3,45.8,23.2,6.9,4.6,12.7,19.1,107.9
12,Houston Rockets,45,242.8,41,86.2,0.476,9.7,28.6,0.339,31.3,57.6,0.543,18.9,24.6,0.767,10.4,33.5,43.9,23.3,8,4.6,13.8,20.9,110.5
13,Charlotte Hornets,45,242.8,41.8,90,0.465,11.8,33.8,0.349,30,56.2,0.534,16.1,20.9,0.772,10.1,35.5,45.6,25.8,7.2,6.8,13.6,21.4,111.5
