Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Toronto Raptors,48,242.6,42.5,89.6,0.474,11.3,33,0.343,31.2,56.7,0.55,17.6,21.9,0.801,10.2,34.8,45,24.3,8.7,5.6,13.3,21,113.9
2,Golden State Warriors,46,242.2,43.9,89.9,0.488,13,33.5,0.389,30.9,56.5,0.548,17.7,21.5,0.819,10,36.5,46.5,28.8,7.4,6.3,13.8,21.8,118.5
3,Philadelphia 76ers,47,242.7,41.4,87.5,0.473,11.4,31.6,0.359,30,55.9,0.537,21.3,27.8,0.766,10.5,37,47.6,27.5,7.4,5.5,15.4,22.5,115.4
4,New Orleans Pelicans,46,240,43.6,90.7,0.481,10.1,28.1,0.359,33.5,62.6,0.536,20.1,25.8,0.778,11.2,35.7,46.8,27,7.5,5.5,14.1,22.4,117.4
5,Milwaukee Bucks,45,241.1,43.5,90.4,0.481,13.4,38.1,0.35,30.1,52.3,0.577,17.3,22.6,0.763,9.2,39.9,49,26.6,7.6,6,13.9,20.5,117.6
6,Portland Trail Blazers,47,242.1,41.4,90,0.46,11,30.7,0.358,30.4,59.3,0.513,18.7,23,0.815,11.3,36.8,48.1,22.3,6.5,5,13.7,20.4,112.5
7,Los Angeles Lakers,47,241.6,42.7,90.6,0.472,10.4,31.1,0.336,32.3,59.5,0.542,16.5,23.9,0.69,10.3,37.4,47.6,24.5,7.9,5.6,15.4,20.6,112.4
8,San Antonio Spurs,47,242.1,42,87.7,0.479,9.9,24.4,0.404,32.2,63.3,0.508,17.9,21.8,0.82,9.3,35,44.2,24.7,6.2,4.5,12.2,18.6,111.8
9,Brooklyn Nets,47,243.7,40.1,88.3,0.455,12.5,34.5,0.363,27.6,53.8,0.513,18.7,24.9,0.751,11.3,34.4,45.7,23.5,6.5,4.1,14.5,22.2,111.6
10,Sacramento Kings,46,240.5,43.4,92.7,0.469,11.7,30.2,0.388,31.7,62.5,0.507,15.4,21.8,0.705,10.6,34,44.6,25.8,8.3,4.6,13.5,21.9,114
11,Los Angeles Clippers,45,242.2,41.2,87.4,0.472,9.5,24.7,0.384,31.7,62.6,0.506,22.8,28.6,0.799,9.8,35.8,45.6,22.8,6.2,4.8,14.2,23,114.7
12,Boston Celtics,46,242.2,41.4,90.3,0.459,13.2,36,0.368,28.2,54.3,0.519,16,20,0.801,10.2,34.9,45.2,25.9,8.7,5.5,12.8,20.8,112.1
13,Oklahoma City Thunder,45,241.7,42.6,93.7,0.455,10.1,30.4,0.332,32.5,63.2,0.514,18.2,25.5,0.713,12.6,35.5,48.1,22.7,10.3,5.4,14,22.4,113.5
